Beam_I [mm4],Column_I [mm4],Bracing_A [mm2],Load_Lat [kN],Disp_lat [m]
0.8014,36.92,153.0,20.0,0.0051212981786109835
0.8014,36.92,153.0,30.0,0.007677433223654499
0.8014,36.92,153.0,40.0,0.01023356826869802
0.8014,36.92,153.0,50.0,0.012789703313741536
0.8014,36.92,182.0,10.0,0.002150422358033405
0.8014,36.92,182.0,20.0,0.004291681366536693
0.8014,36.92,182.0,30.0,0.006432940375039982
0.8014,36.92,182.0,40.0,0.008574199383543271
0.8014,36.92,182.0,50.0,0.010715458392046557
0.8014,36.92,178.0,10.0,0.002199574751170499
0.8014,36.92,178.0,20.0,0.004390004625590931
0.8014,36.92,178.0,30.0,0.006580434500011361
0.8014,36.92,178.0,40.0,0.008770864374431793
0.8014,36.92,178.0,50.0,0.010961294248852225
0.8014,36.92,198.0,10.0,0.0019737246395161914
0.8014,36.92,198.0,20.0,0.0039382126031147395
0.8014,36.92,198.0,30.0,0.005902700566713289
0.8014,36.92,198.0,40.0,0.007867188530311832
0.8014,36.92,198.0,50.0,0.009831676493910382
0.8014,36.92,238.0,10.0,0.0016362133262569807
0.8014,36.92,238.0,20.0,0.0032630104118139746
0.8014,36.92,238.0,30.0,0.004889807497370971
0.8014,36.92,238.0,40.0,0.006516604582927965
0.8014,36.92,238.0,50.0,0.008143401668484962
0.8014,36.92,254.0,10.0,0.001531078645403945
0.8014,36.92,254.0,20.0,0.0030526706351427383
0.8014,36.92,254.0,30.0,0.004574262624881532
0.8014,36.92,254.0,40.0,0.0060958546146203255
0.8014,36.92,254.0,50.0,0.007617446604359118
0.8014,36.92,307.0,10.0,0.0012614258522171665
0.8014,36.92,307.0,20.0,0.002513137068862523
0.8014,36.92,307.0,30.0,0.003764848285507881
0.8014,36.92,307.0,40.0,0.00501655950215324
0.8014,36.92,307.0,50.0,0.0062682707187985956
0.8014,36.92,373.0,10.0,0.0010333080740973853
0.8014,36.92,373.0,20.0,0.0020566278232344282
0.8014,36.92,373.0,30.0,0.00307994757237147
0.8014,36.92,373.0,40.0,0.004103267321508512
0.8014,36.92,373.0,50.0,0.005126587070645557
0.8014,36.92,325.0,10.0,0.0011899570151799415
0.8014,36.92,325.0,20.0,0.0023701236882345805
0.8014,36.92,325.0,30.0,0.0035502903612892197
0.8014,36.92,325.0,40.0,0.00473045703434386
0.8014,36.92,325.0,50.0,0.0059106237073984986
0.8014,54.1,137.0,10.0,0.0028642362643065493
0.8014,54.1,137.0,20.0,0.00571954700318814
0.8014,54.1,137.0,30.0,0.008574857742069729
0.8014,54.1,137.0,40.0,0.011430168480951318
0.8014,54.1,137.0,50.0,0.014285479219832904
0.8014,54.1,153.0,10.0,0.002560073210657838
0.8014,54.1,153.0,20.0,0.005111147969533502
0.8014,54.1,153.0,30.0,0.00766222272840917
0.8014,54.1,153.0,40.0,0.010213297487284832
0.8014,54.1,153.0,50.0,0.012764372246160498
0.8014,54.1,182.0,10.0,0.0021453327413466635
0.8014,54.1,182.0,20.0,0.0042815373471662465
0.8014,54.1,182.0,30.0,0.006417741952985832
0.8014,54.1,182.0,40.0,0.008553946558805415
0.8014,54.1,182.0,50.0,0.010690151164624994
0.8014,54.1,178.0,10.0,0.0021944851167607074
0.8014,54.1,178.0,20.0,0.004379859801535243
0.8014,54.1,178.0,30.0,0.006565234486309781
0.8014,54.1,178.0,40.0,0.008750609171084316
0.8014,54.1,178.0,50.0,0.010935983855858854
0.8014,54.1,198.0,10.0,0.001968635017782692
0.8014,54.1,198.0,20.0,0.003928071650392598
0.8014,54.1,198.0,30.0,0.0058875082830025065
0.8014,54.1,198.0,40.0,0.007846944915612412
0.8014,54.1,198.0,50.0,0.009806381548222318
0.8014,54.1,238.0,10.0,0.0016311231827266786
0.8014,54.1,238.0,20.0,0.0032528761055847003
0.8014,54.1,238.0,30.0,0.004874629028442723
0.8014,54.1,238.0,40.0,0.006496381951300744
0.8014,54.1,238.0,50.0,0.008118134874158765
0.8014,54.1,254.0,10.0,0.0015259880998706496
0.8014,54.1,254.0,20.0,0.0030425386002766544
0.8014,54.1,254.0,30.0,0.004559089100682659
0.8014,54.1,254.0,40.0,0.0060756396010886605
0.8014,54.1,254.0,50.0,0.007592190101494664
0.8014,54.1,307.0,10.0,0.001256333246933524
0.8014,54.1,307.0,20.0,0.0025030111001963394
0.8014,54.1,307.0,30.0,0.003749688953459157
0.8014,54.1,307.0,40.0,0.004996366806721972
0.8014,54.1,307.0,50.0,0.006243044659984789
0.8014,54.1,373.0,10.0,0.0010282114892034117
0.8014,54.1,373.0,20.0,0.0020465065810992707
0.8014,54.1,373.0,30.0,0.003064801672995129
0.8014,54.1,373.0,40.0,0.004083096764890988
0.8014,54.1,373.0,50.0,0.005101391856786845
0.8014,54.1,325.0,10.0,0.0011848634719030472
0.8014,54.1,325.0,20.0,0.0023599993028548243
0.8014,54.1,325.0,30.0,0.003535135133806601
0.8014,54.1,325.0,40.0,0.004710270964758378
0.8014,54.1,325.0,50.0,0.005885406795710155
0.8014,77.63,137.0,10.0,0.0028601656212814503
0.8014,77.63,137.0,20.0,0.005711428274934365
0.8014,77.63,137.0,30.0,0.008562690928587283
0.8014,77.63,137.0,40.0,0.0114139535822402
0.8014,77.63,137.0,50.0,0.014265216235893117
0.8014,77.63,153.0,10.0,0.0025560044344587517
0.8014,77.63,153.0,20.0,0.005103035582794261
0.8014,77.63,153.0,30.0,0.007650066731129771
0.8014,77.63,153.0,40.0,0.01019709787946528
0.8014,77.63,153.0,50.0,0.012744129027800791
0.8014,77.63,182.0,10.0,0.0021412668565137655
0.8014,77.63,182.0,20.0,0.004273435477693697
0.8014,77.63,182.0,30.0,0.006405604098873629
0.8014,77.63,182.0,40.0,0.008537772720053557
0.8014,77.63,182.0,50.0,0.010669941341233493
0.8014,77.63,178.0,10.0,0.0021904188695125843
0.8014,77.63,178.0,20.0,0.004371756553636533
0.8014,77.63,178.0,30.0,0.0065530942377604795
0.8014,77.63,178.0,40.0,0.008734431921884426
0.8014,77.63,178.0,50.0,0.010915769606008378
0.8014,77.63,198.0,10.0,0.001964570470504877
0.8014,77.63,198.0,20.0,0.003919975072068992
0.8014,77.63,198.0,30.0,0.005875379673633103
0.8014,77.63,198.0,40.0,0.007830784275197218
0.8014,77.63,198.0,50.0,0.009786188876761328
0.8014,77.63,238.0,10.0,0.0016270612322950308
0.8014,77.63,238.0,20.0,0.003244791271727516
0.8014,77.63,238.0,30.0,0.004862521311160003
0.8014,77.63,238.0,40.0,0.0064802513505924884
0.8014,77.63,238.0,50.0,0.008097981390024975
0.8014,77.63,254.0,10.0,0.0015219269064389526
0.8014,77.63,254.0,20.0,0.0030344579046598006
0.8014,77.63,254.0,30.0,0.00454698890288065
0.8014,77.63,254.0,40.0,0.006059519901101496
0.8014,77.63,254.0,50.0,0.007572050899322347
0.8014,77.63,307.0,10.0,0.001252273508025985
0.8014,77.63,307.0,20.0,0.0024949420211422685
0.8014,77.63,307.0,30.0,0.003737610534258553
0.8014,77.63,307.0,40.0,0.0049802790473748365
0.8014,77.63,307.0,50.0,0.00622294756049112
0.8014,77.63,373.0,10.0,0.0010241515305456405
0.8014,77.63,373.0,20.0,0.002038447935731608
0.8014,77.63,373.0,30.0,0.0030527443409175755
0.8014,77.63,373.0,40.0,0.004067040746103544
0.8014,77.63,373.0,50.0,0.005081337151289512
0.8014,77.63,325.0,10.0,0.0011808038838712592
0.8014,77.63,325.0,20.0,0.0023519334877475386
0.8014,77.63,325.0,30.0,0.003523063091623818
0.8014,77.63,325.0,40.0,0.0046941926955000966
0.8014,77.63,325.0,50.0,0.005865322299376377
0.8014,104.5,137.0,10.0,0.0028579873456225863
0.8014,104.5,137.0,20.0,0.005707085444308578
0.8014,104.5,137.0,30.0,0.008556183542994571
0.8014,104.5,137.0,40.0,0.011405281641680564
0.8014,104.5,137.0,50.0,0.014254379740366559
0.8014,104.5,153.0,10.0,0.0025538294187224765
0.8014,104.5,153.0,20.0,0.0050987008705498426
0.8014,104.5,153.0,30.0,0.007643572322377208
0.8014,104.5,153.0,40.0,0.01018844377420458
0.8014,104.5,153.0,50.0,0.012733315226031945
0.8014,104.5,182.0,10.0,0.002139097171535605
0.8014,104.5,182.0,20.0,0.004269114340505355
0.8014,104.5,182.0,30.0,0.0063991315094751025
0.8014,104.5,182.0,40.0,0.008529148678444853
0.8014,104.5,182.0,50.0,0.010659165847414599
0.8014,104.5,178.0,10.0,0.0021882484919399435
0.8014,104.5,178.0,20.0,0.00436743362819553
0.8014,104.5,178.0,30.0,0.006546618764451113
0.8014,104.5,178.0,40.0,0.0087258039007067
0.8014,104.5,178.0,50.0,0.010904989036962284
0.8014,104.5,198.0,10.0,0.0019624034245938077
0.8014,104.5,198.0,20.0,0.003915660828920717
0.8014,104.5,198.0,30.0,0.005868918233247626
0.8014,104.5,198.0,40.0,0.007822175637574534
0.8014,104.5,198.0,50.0,0.009775433041901444
0.8014,104.5,238.0,10.0,0.00162489991059097
0.8014,104.5,238.0,20.0,0.003240492540652536
0.8014,104.5,238.0,30.0,0.004856085170714102
0.8014,104.5,238.0,40.0,0.006471677800775666
0.8014,104.5,238.0,50.0,0.008087270430837235
0.8014,104.5,254.0,10.0,0.0015197675457075857
0.8014,104.5,254.0,20.0,0.0030301647297912102
0.8014,104.5,254.0,30.0,0.004540561913874835
0.8014,104.5,254.0,40.0,0.006050959097958456
0.8014,104.5,254.0,50.0,0.007561356282042082
0.8014,104.5,307.0,10.0,0.0012501194180707794
0.8014,104.5,307.0,20.0,0.00249066483306907
0.8014,104.5,307.0,30.0,0.0037312102480673605
0.8014,104.5,307.0,40.0,0.004971755663065652
0.8014,104.5,307.0,50.0,0.006212301078063943
0.8014,104.5,373.0,10.0,0.0010220016488903015
0.8014,104.5,373.0,20.0,0.0020341860042730393
0.8014,104.5,373.0,30.0,0.003046370359655776
0.8014,104.5,373.0,40.0,0.0040585547150385134
0.8014,104.5,373.0,50.0,0.00507073907042125
0.8014,104.5,325.0,10.0,0.0011786511857119165
0.8014,104.5,325.0,20.0,0.002347660942690301
0.8014,104.5,325.0,30.0,0.0035166706996686845
0.8014,104.5,325.0,40.0,0.0046856804566470685
0.8014,104.5,325.0,50.0,0.0058546902136254525
0.8014,136.7,137.0,10.0,0.0028563426024621535
0.8014,136.7,137.0,20.0,0.005703807706872562
0.8014,136.7,137.0,30.0,0.00855127281128297
0.8014,136.7,137.0,40.0,0.011398737915693376
0.8014,136.7,137.0,50.0,0.014246203020103786
0.8014,136.7,153.0,10.0,0.002552188965713955
0.8014,136.7,153.0,20.0,0.00509543308251524
0.8014,136.7,153.0,30.0,0.007638677199316527
0.8014,136.7,153.0,40.0,0.010181921316117818
0.8014,136.7,153.0,50.0,0.012725165432919103
0.8014,136.7,182.0,10.0,0.002137463818333672
0.8014,136.7,182.0,20.0,0.004265863251045641
0.8014,136.7,182.0,30.0,0.006394262683757609
0.8014,136.7,182.0,40.0,0.008522662116469577
0.8014,136.7,182.0,50.0,0.010651061549181547
0.8014,136.7,178.0,10.0,0.002186614209394282
0.8014,136.7,178.0,20.0,0.004364180334033095
0.8014,136.7,178.0,30.0,0.006541746458671908
0.8014,136.7,178.0,40.0,0.008719312583310719
0.8014,136.7,178.0,50.0,0.010896878707949535
0.8014,136.7,198.0,10.0,0.001960773635145605
0.8014,136.7,198.0,20.0,0.003912418255200798
0.8014,136.7,198.0,30.0,0.005864062875255991
0.8014,136.7,198.0,40.0,0.007815707495311186
0.8014,136.7,198.0,50.0,0.00976735211536638
0.8014,136.7,238.0,10.0,0.0016232780088735383
0.8014,136.7,238.0,20.0,0.0032372692409701575
0.8014,136.7,238.0,30.0,0.0048512604730667755
0.8014,136.7,238.0,40.0,0.006465251705163395
0.8014,136.7,238.0,50.0,0.008079242937260015
0.8014,136.7,254.0,10.0,0.0015181484146951872
0.8014,136.7,254.0,20.0,0.0030269483814962463
0.8014,136.7,254.0,30.0,0.004535748348297305
0.8014,136.7,254.0,40.0,0.0060445483150983635
0.8014,136.7,254.0,50.0,0.0075533482818994245
0.8014,136.7,307.0,10.0,0.0012485080329195696
0.8014,136.7,307.0,20.0,0.002487468685904312
0.8014,136.7,307.0,30.0,0.0037264293388890543
0.8014,136.7,307.0,40.0,0.004965389991873796
0.8014,136.7,307.0,50.0,0.006204350644858541
0.8014,136.7,373.0,10.0,0.0010203971559211958
0.8014,136.7,373.0,20.0,0.0020310095790253306
0.8014,136.7,373.0,30.0,0.0030416220021294653
0.8014,136.7,373.0,40.0,0.004052234425233601
0.8014,136.7,373.0,50.0,0.005062846848337735
0.8014,136.7,325.0,10.0,0.0011770419656204532
0.8014,136.7,325.0,20.0,0.002344470737519807
0.8014,136.7,325.0,30.0,0.0035118995094191616
0.8014,136.7,325.0,40.0,0.0046793282813185145
0.8014,136.7,325.0,50.0,0.005846757053217868
1.71,3.492,137.0,10.0,0.0029415358860834357
1.71,3.492,137.0,20.0,0.005874003460031432
1.71,3.492,137.0,30.0,0.008806471033979428
1.71,3.492,137.0,40.0,0.011738938607927423
1.71,3.492,137.0,50.0,0.01467140618187542
1.71,3.492,153.0,10.0,0.002637150243964421
1.71,3.492,153.0,20.0,0.00526514068628113
1.71,3.492,153.0,30.0,0.007893131128597838
1.71,3.492,153.0,40.0,0.010521121570914553
1.71,3.492,153.0,50.0,0.013149112013231263
1.71,3.492,182.0,10.0,0.002222025553196964
1.71,3.492,182.0,20.0,0.0044347272389058875
1.71,3.492,182.0,30.0,0.006647428924614811
1.71,3.492,182.0,40.0,0.008860130610323737
1.71,3.492,182.0,50.0,0.011072832296032661
1.71,3.492,178.0,10.0,0.0022712295178250927
1.71,3.492,178.0,20.0,0.004533157667505168
1.71,3.492,178.0,30.0,0.006795085817185242
1.71,3.492,178.0,40.0,0.009057013966865314
1.71,3.492,178.0,50.0,0.011318942116545392
1.71,3.492,198.0,10.0,0.002045125757866228
1.71,3.492,198.0,20.0,0.004080838053709565
1.71,3.492,198.0,30.0,0.006116550349552903
1.71,3.492,198.0,40.0,0.00815226264539624
1.71,3.492,198.0,50.0,0.01018797494123958
